Pos,P+,Artist,Title,Wks,Pk,(x?),Streams,Streams+,Total
88,+2,The Weeknd ,Save Your Tears,110,2,(x4),9212348,209927.0,1227315734
89,+7,Drake ,Jimmy Cooks,30,7,,9192290,317406.0,388670233
90,-14,Quevedo ,Vista Al Mar,18,45,,9167184,-237984.0,181745224
91,+54,Hotel Ugly ,Shut up My Moms Calling,8,91,,9149116,1416792.0,57849610
92,+17,Rihanna ,Lift Me Up,11,11,,9130914,634409.0,146965945
93,+49,Arijit Singh ,"Apna Bana Le (From ""Bhediya"")",2,93,,9092187,1337718.0,16846656
94,+6,KAROL G ,CAIRO,8,75,,9073164,444058.0,75697355
95,-1,Coldplay ,Yellow,108,56,,8967914,72616.0,738476269
96,-11,Taylor Swift ,Midnight Rain,12,4,,8919292,-108807.0,227233587
97,+13,Zach Bryan ,Something in the Orange,18,57,,8849434,356816.0,154316427
98,+40,Lewis Capaldi ,Someone You Loved,209,4,,8843090,1066231.0,2536275696
99,+81,RAYE ,Escapism.,2,99,,8839955,1791351.0,15888559
100,+16,J. Cole ,No Role Modelz,160,64,,8821050,509856.0,717337133
101,-35,Jung Kook ,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],8,14,,8811758,-1112807.0,113705243
102,+10,Ed Sheeran ,Perfect,304,4,,8805076,316633.0,2245579816
103,-5,Coldplay ,Viva La Vida,24,98,,8777245,40595.0,160851606
104,+17,INTERWORLD ,METAMORPHOSIS,4,104,,8751125,556011.0,32525196
105,-19,Wisin & Yandel ,Besos Moja2,15,64,,8714198,-313835.0,140391842
106,+22,Cigarettes After Sex ,Apocalypse,27,89,,8710145,663411.0,208003590
107,-20,Rauw Alejandro ,PUNTO 40,14,48,,8657759,-366979.0,149280840
108,+9,Eminem ,Superman,15,108,,8645536,338736.0,116426348
109,+10,Sia ,Unstoppable,50,107,,8640523,436743.0,335484681
110,-40,MC MENOR HR ,Evoque Prata,9,69,,8616547,-1162949.0,86821198
111,-9,Post Malone ,I Like You (A Happier Song),32,10,,8608343,5658.0,406015864
112,-32,Israel & Rodolffo ,Bombonzinho,9,80,,8593621,-573318.0,73829711
113,-12,Imagine Dragons ,Enemy,49,3,(x4),8585931,-27969.0,679104801
114,+8,Adele ,Easy On Me,65,1,(x7),8569970,380633.0,1151132517
115,-18,Harry Styles ,Watermelon Sugar,165,4,,8557538,-271672.0,2039737699
116,+28,Vance Joy ,Riptide,231,16,,8552102,818904.0,943615125
117,NEW,Natanael Cano ,AMG,1,117,,8533272,,8533272
118,+14,Eminem ,The Real Slim Shady,84,51,,8521553,556887.0,559640642
119,+14,Beach House ,Space Song,15,119,,8502939,552866.0,95478828
120,+30,Dean Lewis ,How Do I Say Goodbye,14,86,,8477040,871302.0,116351082
121,-7,SZA ,Blind,5,24,,8472711,110561.0,58887512
122,+30,Arctic Monkeys ,Do I Wanna Know?,153,38,,8438734,947988.0,567024483
123,+18,Bruno Mars ,When I Was Your Man,65,123,,8421133,662865.0,195599206
124,-35,Nicky Youre ,Sunroof,36,28,,8374427,-631204.0,382376354
125,-1,Steve Lacy ,Dark Red,75,66,,8354726,238735.0,583575686
126,+4,Beach Weather ,"Sex, Drugs, Etc.",22,58,,8331119,327527.0,193813431
127,-16,Ed Sheeran ,Shivers,70,4,,8235864,-256386.0,1076337253
128,-10,Imagine Dragons ,Believer,310,16,,8214435,-4840.0,2323864824
129,+31,Feid ,CHORRITO PA LAS ANIMAS,3,129,,8199011,916178.0,22916384
130,+18,XXXTENTACION ,Revenge,45,63,,8053778,426039.0,283740750
131,RE,SZA ,Snooze,3,57,,8051968,,30875190
132,+3,Conan Gray ,Heather,129,12,,8051760,165424.0,1032661928
133,+14,The Weeknd ,The Hills,154,3,(x1),8049869,418766.0,936592580
134,-11,Joji ,Die For You,10,21,,8023078,-103622.0,117352645
135,-9,Justin Bieber ,Ghost,69,11,,7987329,-74358.0,850825698
136,-28,Central Cee ,Doja,25,15,,7957576,-539923.0,308509198
137,=,BLACKPINK ,Pink Venom,21,2,(x1),7925695,115804.0,342904748
138,-81,Lizzo ,About Damn Time,35,9,,7917660,-2971282.0,525751075
139,+46,Billie Eilish ,TV,12,27,,7910190,981307.0,90877506
140,-37,Bellakath ,Gatita,7,94,,7887877,-711317.0,62747510
141,+2,The Walters ,I Love You So,66,21,,7884978,146626.0,629932104
142,NEW,Skrillex ,Rumble,1,142,,7879026,,7879026
143,-36,Macklemore & Ryan Lewis ,Can't Hold Us,35,107,,7872289,-631680.0,215794536
144,-5,One Direction ,Night Changes,60,25,,7842154,78072.0,294084518
145,+1,Metro Boomin ,Too Many Nights,6,33,,7808280,168857.0,60126070
146,-42,J Balvin ,LA CANCIÓN,99,17,,7806273,-776514.0,863727013
147,+12,Arctic Monkeys ,Why'd You Only Call Me When You're High?,60,104,,7793469,492674.0,374829599
148,+15,Lana Del Rey ,Summertime Sadness,22,94,,7743333,472890.0,164092628
149,+5,Metro Boomin ,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],6,24,,7722142,266111.0,63040281
150,+18,The Weeknd ,Stargirl Interlude,27,42,,7721235,531899.0,180583345
151,+5,Taylor Swift ,Blank Space,57,113,,7717694,298960.0,365755826
152,-71,Calvin Harris ,One Kiss,104,2,(x4),7683067,-1444042.0,1172521034
153,-92,Bad Bunny ,Yonaguni,83,3,(x3),7642191,-2741253.0,1098151668
154,-39,Nicki Minaj ,Super Freaky Girl,21,14,,7640220,-715668.0,297338194
155,-2,Yuridia ,Qué Agonía,4,153,,7636848,159230.0,29041468
156,-5,New West ,Those Eyes,2,151,,7611968,15613.0,15208323
157,-8,Elley Duhé ,MIDDLE OF THE NIGHT,55,11,,7568156,-48504.0,634871433
158,+35,Future ,WAIT FOR U,35,10,,7543544,738119.0,356998828
159,-23,Lil Nas X ,INDUSTRY BABY,77,2,(x8),7540597,-302102.0,1603890682
160,-69,Kate Bush ,Running Up That Hill (A Deal With God),32,1,(x3),7510720,-1428892.0,739467692
161,-4,Aerosmith ,Dream On,9,104,,7465649,78984.0,69885538
